Type,Front,Back,Example,IELTS Score,Practice
Vocabulary,immortal,immortal,The man named Henry was an old monster who lived for 200 years and possessed an immortal body.,8.0,Write a sentence using "immortal" to describe something that never changes.
Vocabulary,supernatural,supernatural,Henry had witnessed countless deaths in his life, but he was an immortal with the supernatural power of unlimited resurrection.,7.5,Describe a supernatural power you would like to have.
Vocabulary,resurrection,resurrection,Henry had witnessed countless deaths in his life, but he was an immortal with the supernatural power of unlimited resurrection.,8.0,Explain the concept of resurrection in your own words.
Vocabulary,bustling,bustling,The man walked ashore and came to a bustling park.,7.0,Describe a bustling place you have visited.
Vocabulary,embarrassed,embarrassed,Facing the gazes of the aunts and the police, he did not feel embarrassed at all.,6.5,Describe a situation where you felt embarrassed.
Vocabulary,experienced,experienced,He was used to it because he had experienced such things many times.,6.5,Write about something you have experienced that changed your perspective.
Vocabulary,possessed,possessed,The man named Henry was an old monster who lived for 200 years and possessed an immortal body.,6.5,Describe a valuable quality that you possess.
Vocabulary,fluent,fluent,He only glanced at her and greeted her in fluent Russian.,7.0,Write about the importance of being fluent in a second language.
Vocabulary,enthusiastically,enthusiastically,She enthusiastically invited him to watch her performance.,7.5,Describe something you did enthusiastically.
Vocabulary,disaster,disaster,He happily accepted the invitation but the next second the whole train became a disaster.,7.0,Write about a natural disaster and its impact.
Vocabulary,witnessed,witnessed,Henry had witnessed countless deaths in his life.,7.0,Describe an important event you witnessed.
Vocabulary,insisted,insisted,The captain insisted that the old man had cholera.,7.0,Write about a time when you insisted on something.
Vocabulary,merchant,merchant,This story began 200 years ago on a merchant ship.,6.5,Describe the role of merchants in global trade.
Vocabulary,performance,performance,He also wished her a successful performance tonight.,6.5,Write about a memorable performance you watched.
Vocabulary,immediately,immediately,This made the girl immediately feel good about him.,6.0,Describe a situation where you had to act immediately.
Vocabulary,curious,curious,She was curious how he knew she was Russian.,6.0,Write about something you are curious to learn.
Vocabulary,successful,successful,He also wished her a successful performance tonight.,6.0,Describe what makes a person successful.
Vocabulary,delighted,delighted,She was even more delighted after hearing that.,7.0,Write about a time when you were delighted by good news.
Vocabulary,invitation,invitation,He happily accepted the invitation but the next second the whole train became a disaster.,6.5,Write a formal invitation for an event.
Verb Phrase,walk ashore,walk ashore,The man walked ashore and came to a bustling park.,6.5,Write a story using "walk ashore".
Verb Phrase,used to,used to,He was used to it because he had experienced such things many times.,6.0,Describe something you used to do but don't do anymore.
Verb Phrase,search for,search for,He searched for the secret to his immortality.,6.0,Write about something you are searching for.
Verb Phrase,came to,came to,The man walked ashore and came to a bustling park.,6.0,Use "came to" in a sentence about arriving at a destination.
Verb Phrase,feel good about,feel good about,This made the girl immediately feel good about him.,6.5,Describe something you feel good about.
Verb Phrase,invite someone to,invite someone to,She enthusiastically invited him to watch her performance.,6.0,Write about inviting someone to an event.
Verb Phrase,accept an invitation,accept an invitation,He happily accepted the invitation but the next second the whole train became a disaster.,6.5,Write about accepting or declining an invitation.
Verb Phrase,witness death,witness death,Henry had witnessed countless deaths in his life.,7.0,Write about witnessing a significant event.
Verb Phrase,insist that,insist that,The captain insisted that the old man had cholera.,7.0,Use "insist that" in an argument.
Verb Phrase,express feelings,express feelings,The girl also died before he could express his feelings.,6.5,Write about different ways to express feelings.
Verb Phrase,glance at,glance at,He only glanced at her and greeted her in fluent Russian.,6.0,Describe a situation where you glanced at something.
Verb Phrase,travel around,travel around,He traveled around the world and spoke countless languages.,6.0,Write about traveling around the world.
Verb Phrase,speak a language,speak a language,He traveled around the world and spoke countless languages.,6.0,Write about the benefits of speaking multiple languages.
Verb Phrase,notice that,notice that,Henry continued to say that he noticed that her fingers had marks far apart.,6.5,Write about something important you noticed.
Expression,did not feel... at all,did not feel... at all,Facing the gazes of the aunts and the police, he did not feel embarrassed at all.,7.0,Use "did not feel... at all" to describe an emotional state.
Expression,the thing he did not lack the most was,the thing he did not lack the most was,The thing he did not lack the most was time.,7.5,Use this emphatic structure in a sentence.
Expression,facing the gazes of,facing the gazes of,Facing the gazes of the aunts and the police, he did not feel embarrassed at all.,7.0,Write about facing public attention.
Expression,immediately feel good about,immediately feel good about,This made the girl immediately feel good about him.,6.5,Describe an immediate positive reaction.
Expression,the next second,the next second,He happily accepted the invitation but the next second the whole train became a disaster.,6.5,Use "the next second" to show sudden change.
Expression,had witnessed countless deaths,had witnessed countless deaths,Henry had witnessed countless deaths in his life.,7.5,Use past perfect to describe background information.
Expression,supernatural power,supernatural power,He was an immortal with the supernatural power of unlimited resurrection.,7.0,Write about supernatural powers in stories.
Expression,unlimited resurrection,unlimited resurrection,He was an immortal with the supernatural power of unlimited resurrection.,8.0,Write about the concept of unlimited resurrection.
Expression,fluent Russian,fluent Russian,He only glanced at her and greeted her in fluent Russian.,6.5,Describe someone who is fluent in a language.
Expression,half-eaten chocolate,half-eaten chocolate,Henry explained that there was chocolate on the corner of her mouth and that there was a half-eaten chocolate in her bag.,6.5,Use a compound adjective in a sentence.
Key Point,Henry is an immortal man who has lived for 200 years,Henry is an immortal man who has lived for 200 years,This is the main character's defining characteristic.,7.0,Write a character description.
Key Point,He possesses supernatural powers including unlimited resurrection,He possesses supernatural powers including unlimited resurrection,This explains his supernatural ability.,7.5,Describe a supernatural ability in a story.
Key Point,Henry speaks countless languages and has traveled worldwide,Henry speaks countless languages and has traveled worldwide,This shows his knowledge and experience.,6.5,Write about someone with extensive travel experience.
Key Point,He can observe details like chocolate stains and finger marks,He can observe details like chocolate stains and finger marks,This demonstrates his deductive reasoning.,7.0,Write about noticing small details.
Key Point,Henry deduced the girl was a cello player from physical signs,Henry deduced the girl was a cello player from physical signs,This shows his analytical skills.,7.5,Write about making a deduction from evidence.
Key Point,The tragedy occurred when a steel bar stabbed Henry on the train,The tragedy occurred when a steel bar stabbed Henry on the train,This is the turning point of the story.,7.0,Describe a tragic event in a narrative.
Key Point,Henry has witnessed countless deaths throughout his immortal life,Henry has witnessed countless deaths throughout his immortal life,This shows the burden of immortality.,7.0,Write about the emotional impact of witnessing death.
Key Point,His story began 200 years ago on a merchant ship,His story began 200 years ago on a merchant ship,This provides the backstory.,6.5,Write a backstory for a character.
